x y z Bx By Bz Ex Ey Ez
-1.000000e+01 -1.000000e+01 -1.000000e+01 1.924501e-08 1.924501e-08 -6.415003e-17 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -9.354839e+00 2.002229e-08 2.002229e-08 -1.781739e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -8.709677e+00 2.067319e-08 2.067319e-08 -3.820135e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -8.064516e+00 2.115610e-08 2.115610e-08 -6.114796e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -7.419355e+00 2.142583e-08 2.142583e-08 -8.654471e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -6.774194e+00 2.143522e-08 2.143522e-08 -1.141456e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -6.129032e+00 2.113766e-08 2.113766e-08 -1.435495e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -5.483871e+00 2.049015e-08 2.049015e-08 -1.741857e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -4.838710e+00 1.945715e-08 1.945715e-08 -2.053113e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -4.193548e+00 1.801467e-08 1.801467e-08 -2.360235e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -3.548387e+00 1.615436e-08 1.615436e-08 -2.652916e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -2.903226e+00 1.388699e-08 1.388699e-08 -2.920084e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -2.258065e+00 1.124474e-08 1.124474e-08 -3.150601e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -1.612903e+00 8.281770e-09 8.281770e-09 -3.334080e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -9.677419e-01 5.072635e-09 5.072635e-09 -3.461755e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -3.225806e-01 1.708519e-09 1.708519e-09 -3.527265e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 3.225806e-01 -1.708519e-09 -1.708519e-09 -3.527265e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 9.677419e-01 -5.072635e-09 -5.072635e-09 -3.461755e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 1.612903e+00 -8.281770e-09 -8.281770e-09 -3.334080e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 2.258065e+00 -1.124474e-08 -1.124474e-08 -3.150601e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 2.903226e+00 -1.388699e-08 -1.388699e-08 -2.920084e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 3.548387e+00 -1.615436e-08 -1.615436e-08 -2.652916e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 4.193548e+00 -1.801467e-08 -1.801467e-08 -2.360235e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 4.838710e+00 -1.945715e-08 -1.945715e-08 -2.053113e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 5.483871e+00 -2.049015e-08 -2.049015e-08 -1.741857e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 6.129032e+00 -2.113766e-08 -2.113766e-08 -1.435495e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 6.774194e+00 -2.143522e-08 -2.143522e-08 -1.141456e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 7.419355e+00 -2.142583e-08 -2.142583e-08 -8.654471e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 8.064516e+00 -2.115610e-08 -2.115610e-08 -6.114796e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 8.709677e+00 -2.067319e-08 -2.067319e-08 -3.820135e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 9.354839e+00 -2.002229e-08 -2.002229e-08 -1.781739e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 1.000000e+01 -1.924501e-08 -1.924501e-08 -6.415003e-17 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -1.000000e+01 2.140314e-08 2.002229e-08 8.908695e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -9.354839e+00 2.237294e-08 2.092953e-08 -9.954592e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -8.709677e+00 2.321140e-08 2.171389e-08 -3.179898e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -8.064516e+00 2.386897e-08 2.232903e-08 -5.666954e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -7.419355e+00 2.429071e-08 2.272357e-08 -8.448942e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -6.774194e+00 2.441823e-08 2.284286e-08 -1.150270e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -6.129032e+00 2.419248e-08 2.263167e-08 -1.478657e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -5.483871e+00 2.355764e-08 2.203780e-08 -1.823818e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -4.838710e+00 2.246596e-08 2.101654e-08 -2.177346e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -4.193548e+00 2.088309e-08 1.953580e-08 -2.528772e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -3.548387e+00 1.879371e-08 1.758121e-08 -2.865903e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -2.903226e+00 1.620633e-08 1.516076e-08 -3.175434e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -2.258065e+00 1.315679e-08 1.230797e-08 -3.443806e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -1.612903e+00 9.709384e-09 9.082972e-09 -3.658245e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -9.677419e-01 5.955156e-09 5.570953e-09 -3.807885e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -3.225806e-01 2.007145e-09 1.877652e-09 -3.884796e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 3.225806e-01 -2.007145e-09 -1.877652e-09 -3.884796e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 9.677419e-01 -5.955156e-09 -5.570953e-09 -3.807885e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 1.612903e+00 -9.709384e-09 -9.082972e-09 -3.658245e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 2.258065e+00 -1.315679e-08 -1.230797e-08 -3.443806e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 2.903226e+00 -1.620633e-08 -1.516076e-08 -3.175434e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 3.548387e+00 -1.879371e-08 -1.758121e-08 -2.865903e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 4.193548e+00 -2.088309e-08 -1.953580e-08 -2.528772e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 4.838710e+00 -2.246596e-08 -2.101654e-08 -2.177346e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 5.483871e+00 -2.355764e-08 -2.203780e-08 -1.823818e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 6.129032e+00 -2.419248e-08 -2.263167e-08 -1.478657e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 6.774194e+00 -2.441823e-08 -2.284286e-08 -1.150270e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 7.419355e+00 -2.429071e-08 -2.272357e-08 -8.448942e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 8.064516e+00 -2.386897e-08 -2.232903e-08 -5.666954e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 8.709677e+00 -2.321140e-08 -2.171389e-08 -3.179898e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 9.354839e+00 -2.237294e-08 -2.092953e-08 -9.954592e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 1.000000e+01 -2.140314e-08 -2.002229e-08 8.908695e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -1.000000e+01 2.373588e-08 2.067319e-08 1.910068e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -9.354839e+00 2.493077e-08 2.171389e-08 -7.395120e-11 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -8.709677e+00 2.599214e-08 2.263832e-08 -2.401505e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -8.064516e+00 2.686152e-08 2.339552e-08 -5.083470e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -7.419355e+00 2.747278e-08 2.392791e-08 -8.117250e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -6.774194e+00 2.775420e-08 2.417301e-08 -1.148254e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -6.129032e+00 2.763169e-08 2.406631e-08 -1.513723e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -5.483871e+00 2.703351e-08 2.354532e-08 -1.901408e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -4.838710e+00 2.589628e-08 2.255482e-08 -2.301891e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -4.193548e+00 2.417202e-08 2.105305e-08 -2.703107e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -3.548387e+00 2.183557e-08 1.901808e-08 -3.090705e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -2.903226e+00 1.889140e-08 1.645380e-08 -3.448753e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -2.258065e+00 1.537861e-08 1.339427e-08 -3.760791e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -1.612903e+00 1.137307e-08 9.905577e-09 -4.011147e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -9.677419e-01 6.985634e-09 6.084262e-09 -4.186373e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -3.225806e-01 2.356183e-09 2.052159e-09 -4.276599e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 3.225806e-01 -2.356183e-09 -2.052159e-09 -4.276599e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 9.677419e-01 -6.985634e-09 -6.084262e-09 -4.186373e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 1.612903e+00 -1.137307e-08 -9.905577e-09 -4.011147e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 2.258065e+00 -1.537861e-08 -1.339427e-08 -3.760791e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 2.903226e+00 -1.889140e-08 -1.645380e-08 -3.448753e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 3.548387e+00 -2.183557e-08 -1.901808e-08 -3.090705e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 4.193548e+00 -2.417202e-08 -2.105305e-08 -2.703107e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 4.838710e+00 -2.589628e-08 -2.255482e-08 -2.301891e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 5.483871e+00 -2.703351e-08 -2.354532e-08 -1.901408e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 6.129032e+00 -2.763169e-08 -2.406631e-08 -1.513723e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 6.774194e+00 -2.775420e-08 -2.417301e-08 -1.148254e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 7.419355e+00 -2.747278e-08 -2.392791e-08 -8.117250e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 8.064516e+00 -2.686152e-08 -2.339552e-08 -5.083470e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 8.709677e+00 -2.599214e-08 -2.263832e-08 -2.401505e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 9.354839e+00 -2.493077e-08 -2.171389e-08 -7.395120e-11 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 1.000000e+01 -2.373588e-08 -2.067319e-08 1.910068e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -1.000000e+01 2.623357e-08 2.115610e-08 3.057398e-09 0.000000e+00 0.000000e+00 0.000000e+00
