x y z Bx By Bz Ex Ey Ez
-1.000000e+01 -1.000000e+01 -1.000000e+01 1.924501e-01 1.924501e-01 -6.415003e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -9.354839e+00 2.002229e-01 2.002229e-01 -1.781739e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -8.709677e+00 2.067319e-01 2.067319e-01 -3.820135e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -8.064516e+00 2.115610e-01 2.115610e-01 -6.114796e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -7.419355e+00 2.142583e-01 2.142583e-01 -8.654471e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -6.774194e+00 2.143522e-01 2.143522e-01 -1.141456e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -6.129032e+00 2.113766e-01 2.113766e-01 -1.435495e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -5.483871e+00 2.049015e-01 2.049015e-01 -1.741857e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -4.838710e+00 1.945715e-01 1.945715e-01 -2.053113e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -4.193548e+00 1.801467e-01 1.801467e-01 -2.360235e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -3.548387e+00 1.615436e-01 1.615436e-01 -2.652916e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -2.903226e+00 1.388699e-01 1.388699e-01 -2.920084e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -2.258065e+00 1.124474e-01 1.124474e-01 -3.150601e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -1.612903e+00 8.281770e-02 8.281770e-02 -3.334080e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -9.677419e-01 5.072635e-02 5.072635e-02 -3.461755e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 -3.225806e-01 1.708519e-02 1.708519e-02 -3.527265e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 3.225806e-01 -1.708519e-02 -1.708519e-02 -3.527265e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 9.677419e-01 -5.072635e-02 -5.072635e-02 -3.461755e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 1.612903e+00 -8.281770e-02 -8.281770e-02 -3.334080e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 2.258065e+00 -1.124474e-01 -1.124474e-01 -3.150601e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 2.903226e+00 -1.388699e-01 -1.388699e-01 -2.920084e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 3.548387e+00 -1.615436e-01 -1.615436e-01 -2.652916e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 4.193548e+00 -1.801467e-01 -1.801467e-01 -2.360235e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 4.838710e+00 -1.945715e-01 -1.945715e-01 -2.053113e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 5.483871e+00 -2.049015e-01 -2.049015e-01 -1.741857e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 6.129032e+00 -2.113766e-01 -2.113766e-01 -1.435495e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 6.774194e+00 -2.143522e-01 -2.143522e-01 -1.141456e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 7.419355e+00 -2.142583e-01 -2.142583e-01 -8.654471e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 8.064516e+00 -2.115610e-01 -2.115610e-01 -6.114796e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 8.709677e+00 -2.067319e-01 -2.067319e-01 -3.820135e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 9.354839e+00 -2.002229e-01 -2.002229e-01 -1.781739e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -1.000000e+01 1.000000e+01 -1.924501e-01 -1.924501e-01 -6.415003e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -1.000000e+01 2.140314e-01 2.002229e-01 8.908695e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -9.354839e+00 2.237294e-01 2.092953e-01 -9.954592e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -8.709677e+00 2.321140e-01 2.171389e-01 -3.179898e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -8.064516e+00 2.386897e-01 2.232903e-01 -5.666954e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -7.419355e+00 2.429071e-01 2.272357e-01 -8.448942e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -6.774194e+00 2.441823e-01 2.284286e-01 -1.150270e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -6.129032e+00 2.419248e-01 2.263167e-01 -1.478657e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -5.483871e+00 2.355764e-01 2.203780e-01 -1.823818e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -4.838710e+00 2.246596e-01 2.101654e-01 -2.177346e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -4.193548e+00 2.088309e-01 1.953580e-01 -2.528772e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -3.548387e+00 1.879371e-01 1.758121e-01 -2.865903e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -2.903226e+00 1.620633e-01 1.516076e-01 -3.175434e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -2.258065e+00 1.315679e-01 1.230797e-01 -3.443806e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -1.612903e+00 9.709384e-02 9.082972e-02 -3.658245e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -9.677419e-01 5.955156e-02 5.570953e-02 -3.807885e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -3.225806e-01 2.007145e-02 1.877652e-02 -3.884796e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 3.225806e-01 -2.007145e-02 -1.877652e-02 -3.884796e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 9.677419e-01 -5.955156e-02 -5.570953e-02 -3.807885e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 1.612903e+00 -9.709384e-02 -9.082972e-02 -3.658245e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 2.258065e+00 -1.315679e-01 -1.230797e-01 -3.443806e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 2.903226e+00 -1.620633e-01 -1.516076e-01 -3.175434e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 3.548387e+00 -1.879371e-01 -1.758121e-01 -2.865903e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 4.193548e+00 -2.088309e-01 -1.953580e-01 -2.528772e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 4.838710e+00 -2.246596e-01 -2.101654e-01 -2.177346e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 5.483871e+00 -2.355764e-01 -2.203780e-01 -1.823818e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 6.129032e+00 -2.419248e-01 -2.263167e-01 -1.478657e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 6.774194e+00 -2.441823e-01 -2.284286e-01 -1.150270e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 7.419355e+00 -2.429071e-01 -2.272357e-01 -8.448942e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 8.064516e+00 -2.386897e-01 -2.232903e-01 -5.666954e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 8.709677e+00 -2.321140e-01 -2.171389e-01 -3.179898e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 9.354839e+00 -2.237294e-01 -2.092953e-01 -9.954592e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 1.000000e+01 -2.140314e-01 -2.002229e-01 8.908695e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -1.000000e+01 2.373588e-01 2.067319e-01 1.910068e-02 0.000000e+00 0.000000e+00 0.000000e+00
